word;pair_eucl_dist_he_she;pair_eucl_dist_he_i;pair_eucl_dist_she_i;pair_eucl_dist_he_you;pair_eucl_dist_she_you;pair_eucl_dist_he_they;pair_eucl_dist_she_they;pair_eucl_dist_i_you;triple_eucl_dist_he_she_i;triple_eucl_dist_he_she_you;triple_eucl_dist_he_she_they;triple_eucl_dist_i_you_they;eucl_center_dist_he_she_i;eucl_center_dist_he_she_you;eucl_center_dist_he_she_they;eucl_center_dist_i_you_they;eucl_center_dist_he_i_you_they;eucl_center_dist_she_i_you_they;eucl_center_dist_he_she_i_you_they;pair_cos_simil_he_she;pair_cos_simil_he_i;pair_cos_simil_she_i;pair_cos_simil_he_you;pair_cos_simil_she_you;pair_cos_simil_he_they;pair_cos_simil_she_they;pair_cos_simil_i_you;triple_cos_simil_he_she_i;triple_cos_simil_he_she_you;triple_cos_simil_he_she_they;triple_cos_simil_i_you_they;stat_bergsma;stat_bls
baker;2.150692;3.4340835;3.121389;4.265104;3.9923117;3.2307413;3.2223668;2.593267;8.706164;10.408108;8.6038;10.097202;5.0408163;6.071871;4.984147;5.8386497;8.628973;8.369875;10.690076;0.98778206;0.96850574;0.9738058;0.9509272;0.9567304;0.97239095;0.97217894;0.9813198;0.93161327;0.89866537;0.93378794;0.9034545;8.93;60.8
programmer;2.3657475;3.986906;3.034733;4.601292;4.073001;3.6606548;3.2611887;3.0663872;9.387386;11.040041;9.287591;10.277871;5.398204;6.4191036;5.371353;5.9354143;9.209818;8.44641;11.215785;0.98433065;0.9550382;0.9732366;0.9393112;0.9507794;0.9627045;0.9689321;0.9722427;0.91491383;0.8790838;0.918179;0.8963207;4.04;18.35
paralegal;2.2559922;2.8822417;2.5583158;3.42852;3.1367593;2.944165;3.0800624;2.415768;7.69655;8.821272;8.28022;8.414781;4.4430795;5.1035676;4.786493;4.8607883;7.22313;7.014284;9.103438;0.9836782;0.9730276;0.9790378;0.96165466;0.96837825;0.97133774;0.96934307;0.9810591;0.9370822;0.91604584;0.92619157;0.92374563;86.32;85.4
hygienist;1.2640685;2.2057142;1.9345845;2.489307;2.2883773;2.030345;2.1085808;1.6899986;5.4043674;6.041753;5.402994;6.506089;3.1313152;3.520964;3.1363196;3.7640877;5.4388843;5.261034;6.6439385;0.99475324;0.9838117;0.98766696;0.97928715;0.98272496;0.98643184;0.9855761;0.99036366;0.96658015;0.95732063;0.96710277;0.9513403;25.0;96.4
scientist;1.989282;3.7724712;3.1809614;4.5287457;4.1424265;3.734927;3.209837;2.987797;8.942715;10.660454;8.934046;10.342011;5.1814394;6.2488365;5.1808176;5.970577;9.138415;8.534662;11.132147;0.9883183;0.95727146;0.9687311;0.937826;0.9463934;0.9582211;0.9680473;0.9715396;0.91650575;0.87718415;0.91676736;0.88777375;3.29;41.94
dispatcher;2.143009;2.8420746;2.4741476;3.5772684;3.1408849;3.0782669;3.1800876;2.5402856;7.4592314;8.861162;8.401363;9.516125;4.30558;5.1294155;4.863726;5.5020194;7.7802954;7.4723625;9.482827;0.9844778;0.97303593;0.97954834;0.95714796;0.96690613;0.96836895;0.965775;0.97857016;0.93834096;0.9111069;0.9207098;0.9008504;68.57;56.3
cashier;2.0877404;2.5302331;2.4273627;3.2447593;3.154052;2.6003478;2.9299662;2.4048522;7.0453367;8.486552;7.6180544;8.43243;4.0686874;4.9182096;4.4001136;4.8711386;6.879094;6.917719;8.687007;0.98654014;0.9804907;0.9821044;0.96732986;0.969407;0.979075;0.9739017;0.98241794;0.9499831;0.9251145;0.9406885;0.9292167;67.46;72.5
auditor;1.6972808;3.2464345;2.7070572;4.1058235;3.5573397;3.6506176;3.236895;2.832283;7.650772;9.360444;8.584793;8.709847;4.430704;5.480666;5.010297;5.0284643;8.025336;7.4265103;9.875598;0.9920614;0.9698047;0.97804654;0.95142496;0.96138185;0.9621645;0.9681808;0.975749;0.94098425;0.90742135;0.924154;0.9234168;28.04;59.7
dietitian;1.8646216;2.7281315;2.2806869;3.4958606;3.0960643;3.0099728;2.9421775;2.3886883;6.87344;8.456547;7.8167715;8.737856;3.965951;4.9114156;4.5347686;5.0512295;7.3534975;6.9710083;8.935153;0.9894841;0.9776424;0.98434585;0.9634172;0.9712498;0.97232974;0.97340006;0.98297983;0.9522184;0.92587876;0.9365128;0.92399615;86.49;94.6
painter;2.1458733;3.4905176;2.9986396;4.604737;4.077328;3.8179429;3.4160705;2.9910345;8.635031;10.827938;9.379887;10.743886;4.9921184;6.3183203;5.441996;6.2021494;9.241172;8.668121;11.206886;0.9870253;0.9654739;0.9742176;0.9393554;0.9518835;0.9587367;0.9665423;0.9739487;0.92837787;0.8825555;0.9146365;0.88796526;11.65;5.7
broker;2.2402632;3.4481647;2.7831745;4.521598;3.940123;3.6022654;3.305125;2.7076728;8.471602;10.701984;9.147654;8.94996;4.883939;6.2246046;5.2986107;5.1645017;8.343891;7.7199416;10.419172;0.98610413;0.9667643;0.9780242;0.9421154;0.9554239;0.96390414;0.96900463;0.97850025;0.93238;0.8876116;0.92104846;0.9215104;13.62;55.5
chef;2.1135786;3.5060885;2.9910557;4.1751733;3.7460165;3.431087;3.1147082;2.8630295;8.610723;10.034769;8.659374;9.974504;4.9782925;5.841802;5.0152836;5.75898;8.618259;8.102238;10.50655;0.9872609;0.96486735;0.9740707;0.9493368;0.9583866;0.9662353;0.97145885;0.9760852;0.92787623;0.8982412;0.9267001;0.90215343;6.66;19.6
doctor;2.1953275;3.3202996;2.9414568;4.3446426;4.0669804;4.2169666;3.9433534;3.2075686;8.457085;10.606951;10.355648;11.663913;4.8886385;6.1873846;6.033698;6.7391205;9.601205;9.225284;11.625618;0.9860359;0.9678039;0.9743797;0.9440964;0.9502434;0.9477286;0.9535088;0.9686089;0.9298402;0.88459384;0.8910486;0.8612333;9.2;37.9
firefighter;1.5370041;2.5327535;2.58301;3.1715097;3.2319748;2.5808918;2.5095627;2.2149432;6.6527677;7.940489;6.6274586;8.504413;3.8641005;4.651703;3.8486514;4.916808;6.8779864;6.9023347;8.492491;0.9928333;0.9806132;0.979734;0.96946186;0.9680836;0.97999394;0.98075765;0.9851168;0.95385474;0.9317941;0.9542484;0.92593324;3.09;3.5
secretary;2.3082645;3.4239612;2.8602188;4.215575;3.720285;3.3000243;3.1599538;2.6236188;8.592444;10.244124;8.768243;9.415826;4.9580736;5.9440885;5.0719986;5.4399242;8.328414;7.8290906;10.302667;0.98062545;0.95746076;0.969927;0.93419385;0.94782525;0.96009564;0.96237487;0.9745153;0.9106745;0.8682973;0.90607035;0.8898196;10.43;94.6
pope;3.6657279;3.2682998;3.529588;3.9913585;4.420088;3.3122232;3.5367982;2.867711;10.463615;12.077174;10.51475;9.957067;6.041381;6.9720473;6.070819;5.7503157;8.391981;8.7608185;11.283157;0.96192265;0.9699425;0.96365404;0.9548321;0.9416607;0.9703444;0.96084976;0.97623473;0.8990985;0.8648914;0.89685357;0.9056287;0.0;0.0
