id, layer-00, rank-00, layer-01, rank-01, layer-02, rank-02, layer-03, rank-03, layer-04, rank-04, layer-05, rank-05, layer-06, rank-06, layer-07, rank-07, layer-08, rank-08, layer-09, rank-09, layer-10, rank-10, layer-11, rank-11, layer-12, rank-12
0, 0.004514238262641048, 0.010878980743121741, 0.011306475079835515, 0.018967448322541453, 0.007864646759885244, 0.008046303766104398, 0.01788203680254112, 0.01708224774069508, 0.013954077087029363, 0.019481291798828314, 0.023129119299408616, 0.012709162633352696, 0.003009807870194754, 257.0, 509.0, 414.0, 286.0, 272.0, 490.0, 457.0, 473.0, 352.0, 433.0, 57.0, 389.0, 448.0
1, 0.015701052381833152, 0.025370799059936378, 0.01967770206637685, 0.010341166021176145, 0.029175679872742662, 0.03365087325936514, 0.03417638774625959, 0.03224649856065222, 0.035478606207470335, 0.0531681955526081, 0.04698100014178825, 0.049007134593341266, 0.07887349696793891, 173.0, 640.0, 433.0, 401.0, 190.0, 393.0, 239.0, 131.0, 465.0, 654.0, 226.0, 360.0, 547.0
2, 0.012635541672172455, 0.001742369184969864, 0.011824611336481073, 0.015386409813119714, 0.006735500263166722, 0.0010562002491490243, 0.004559020009870094, 0.00044912664174870766, 0.006131630238062225, 0.01160231609978811, 0.016589353201487137, 0.011688284299911254, 0.004633549927839514, 687.0, 159.0, 616.0, 12.0, 343.0, 626.0, 203.0, 96.0, 353.0, 252.0, 451.0, 657.0, 766.0
3, 0.0068995301465741106, 0.003991686676613511, 0.00484024689333761, 0.004367327508297002, 0.0012713631585797303, 0.006400179659166436, 0.001477219509125802, 0.010025868468761879, 0.005911909025360243, 0.00848922983087518, 0.013202415973862154, 0.00572411959653958, 0.016623232662878913, 462.0, 426.0, 238.0, 320.0, 442.0, 714.0, 724.0, 426.0, 274.0, 19.0, 148.0, 637.0, 641.0
4, 0.006701409972626293, 0.008626210652509623, 0.009575601386180667, 0.009308488678592367, 0.0012969039097898139, 0.0067415086650712795, 0.018471838696643712, 0.01519218086555558, 0.012511427571225996, 0.011774243475378912, 0.0092838447211554, 0.00891081192807215, 0.012922626239853996, 183.0, 94.0, 332.0, 521.0, 31.0, 595.0, 136.0, 677.0, 178.0, 295.0, 461.0, 309.0, 47.0
5, 0.00294821486273075, 0.008106342175556952, 0.003034717122310691, 0.0042354141450177, 0.002772246144444638, 0.003825408241235335, 0.0010315988425986763, 0.0022121232448443938, 0.0029338905395695034, 0.006108138281451755, 0.007229716486435325, 0.012389545717729194, 0.0025174078585757133, 413.0, 652.0, 537.0, 287.0, 553.0, 659.0, 463.0, 616.0, 368.0, 697.0, 48.0, 485.0, 705.0
6, 0.007416870384209081, 0.014841042208764116, 0.02607376576188888, 0.03275699201189546, 0.03336594336862404, 0.03506784196657374, 0.031466796710471444, 0.04161793559810403, 0.04434156163713264, 0.04548874267982656, 0.04246478507608378, 0.06716049385415508, 0.06381712856049045, 371.0, 757.0, 745.0, 641.0, 720.0, 110.0, 247.0, 114.0, 36.0, 76.0, 714.0, 212.0, 156.0
7, 0.021614442301025022, 0.019910061306808176, 0.014560439203167947, 0.00884450597313763, 0.0009583477221872746, 0.0023361558546536603, 0.01770361634014048, 0.014204215183726217, 0.0107818039190847, 0.01476349544863234, 0.0023005083594475426, 0.0046759310990098744, 0.0093207424671716, 356.0, 265.0, 52.0, 109.0, 311.0, 12.0, 351.0, 501.0, 12.0, 215.0, 638.0, 195.0, 333.0
8, 0.012663073328090111, 0.024012875030186336, 0.028147377334655405, 0.02606302763048788, 0.03153581640876787, 0.035426465073242826, 0.03076980221154925, 0.0261636301435583, 0.039449828233189245, 0.05685557398838938, 0.06139286239619481, 0.06017826157736151, 0.05965097431218762, 570.0, 108.0, 653.0, 662.0, 444.0, 336.0, 393.0, 559.0, 720.0, 429.0, 664.0, 697.0, 118.0
9, 0.007950308167746202, 0.01504453360540598, 0.019437377370748993, 0.016450040339039892, 0.008519803727535974, 0.013948990932663056, 0.004054413648460814, 0.002829577425876802, 0.008397018127394257, 0.01986076422128958, 0.010909045718475457, 0.011672807045346708, 0.03623323979014111, 531.0, 280.0, 295.0, 84.0, 348.0, 443.0, 638.0, 226.0, 735.0, 759.0, 131.0, 148.0, 375.0
10, 0.008794070423249072, 0.02244798428270393, 0.02871042140027811, 0.03638382893196067, 0.030947775376690977, 0.023221762852930303, 0.004613335366411109, 0.004333512218062574, 0.010545700457002613, 0.013948828141989734, 0.0008438669527412661, 0.0034605524516645994, 0.01949861234419916, 26.0, 331.0, 203.0, 664.0, 472.0, 29.0, 645.0, 2.0, 31.0, 714.0, 527.0, 172.0, 271.0
11, 0.010530643057989005, 0.0077838788729338235, 0.00029458839071521797, 0.007544059730502758, 0.00681032297750965, 0.006236408461391292, 0.0099233783795564, 0.022392142416335678, 0.01648985568048659, 0.019774705175320793, 0.024424668112438125, 0.028835885571418737, 0.014383636982164692, 176.0, 391.0, 272.0, 727.0, 89.0, 289.0, 12.0, 542.0, 52.0, 235.0, 96.0, 45.0, 742.0
