word, gender_class_00, gender_class_01, gender_class_02, gender_class_03, gender_class_04, gender_class_05, gender_class_06, gender_class_07, gender_class_08, gender_class_09, gender_class_10, gender_class_11, gender_class_12, gender_spectrum_00, gender_spectrum_01, gender_spectrum_02, gender_spectrum_03, gender_spectrum_04, gender_spectrum_05, gender_spectrum_06, gender_spectrum_07, gender_spectrum_08, gender_spectrum_09, gender_spectrum_10, gender_spectrum_11, gender_spectrum_12, gender_relevance_00, gender_relevance_01, gender_relevance_02, gender_relevance_03, gender_relevance_04, gender_relevance_05, gender_relevance_06, gender_relevance_07, gender_relevance_08, gender_relevance_09, gender_relevance_10, gender_relevance_11, gender_relevance_12
agent, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, -6.661333043128252, -7.862385648069903, -8.40339894965291, -8.554719857871532, -6.875104073435068, -7.8695800472050905, -9.424623179016635, -6.4626738876104355, 6.878805436193943, -5.254769071470946, 6.871965145692229, -7.673704143613577, -4.3184006921947, 0.18588183348385978, 0.485896357120192, 0.2850250882899526, 0.528651351170473, 0.5190920728437823, 0.4922698019351095, 0.7635119109154724, 0.94521198857146, 0.518343459734629, 0.14118623389238533, 0.4830327126848015, 0.48104096126143886, 0.4680171914427762
agriculturist, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, -6.752226139418781, -9.393783902050927, 9.159501764923334, -8.31389781460166, -6.177206490188837, -7.208037848351523, -6.990975664462894, 10.818178887479007, -6.1428972743451595, -5.650921931955963, 8.70466734468937, 6.470615871250629, -6.209447475615889, 0.35001480510789895, 0.2565267362108549, 0.3318940735428519, 0.1704478127921214, 0.33597176538150253, 0.33707586762273134, 0.3847571157563635, 0.15201163600636364, 0.3960026965884276, 0.4411747977811856, 0.41420894371130873, 0.3315513034775005, 0.3112445759187846
agronomist, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, -6.141221606172621, -8.92291375505738, 9.141779717057943, -7.52854635939002, -6.350705426186323, -7.01216466166079, -8.539299023803324, 8.738269880414009, -5.645492762327194, 5.9767735614441335, 9.011757843196392, 6.1067750826478004, 6.729826666414738, 0.2206140241746913, 0.34706514278044176, 0.42737783789463474, 0.2734218961807859, 0.4512387775447898, 0.4182749546682666, 0.3701830283922465, 0.4981643345167449, 0.24871524375851436, 0.3746752473652215, 0.34413685587176907, 0.26317444871242013, 0.23689016827343798
aircrewman, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, -6.684249975718558, -8.075635756133124, 8.605802122503519, -10.25340623408556, -4.9367574118077755, -6.983885237947106, 4.970159438904375, 6.312829032540321, -4.978924822062254, -4.987018222454935, -7.299534438177943, 5.563135500997305, -5.670093446969986, 0.2151066301816308, 0.21379559047337976, 0.5600225771228938, 0.4435870993340346, 0.44785738219532656, 0.24068387902883603, 0.6009817145481331, 0.6152457900057013, 0.3413088105603143, 0.3439059735750152, 0.18194568357009505, 0.4086704934633366, 0.41768020307411513
algebraist, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, -6.140859113074839, 9.712765685049817, -6.646224599331617, -8.274681193754077, 5.102022144943476, -7.952598104253411, -6.441372787114233, -7.719844538718462, -5.821874313056469, -5.812189268413931, -6.918144978582859, -6.4581291526556015, -7.326763890683651, 0.3985723386330063, 0.7525125306141887, 0.4078538687427682, 0.24021342486056838, 0.47132775508944086, 0.6629885151395297, 0.7768409987487501, 1.0787973757740261, 0.471344605624405, 0.2747989756970024, 0.5237554295790403, 0.22955600658841693, 0.2802260803561156
algologist, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, -5.196077234111726, -7.989846372278407, 7.988880368589889, -7.249770604074001, -6.766965631395578, -6.834363931789994, -6.001289299223572, 7.111980853136629, 4.671598631888628, 5.8806847161613405, 6.752595394849777, -7.154597699642181, 6.234115853905678, 0.24561965106286976, 0.4056399235871726, 0.3575692982700359, 0.310933713469742, 0.4129160393263415, 0.49679726085703374, 0.24800762628791795, 0.6024308106083539, 0.3878882184492303, 0.46514750165236596, 0.32960797440434414, 0.29328207784928606, 0.3176617416722051
aligner, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -7.275254807434976, -7.776939968345687, -8.192759109660983, -8.322025217115879, -5.805330250412226, -5.818740414455533, -4.885117752011865, -6.958343900740147, -4.854827757924795, -4.585065737832338, -8.53806023299694, -6.526553317904472, -6.393219366669655, 0.2615105764661535, 0.23747404713792752, 0.2628352889592376, 0.36753908401648583, 0.6542836385923848, 0.4062192775916636, 0.6116084906939794, 0.9678457312660886, 0.3276734263395853, 0.2440809349810601, 0.6221080492319633, 0.372916722122348, 0.318637886232169
allergist, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, -6.358010998927057, -7.3711314185056835, -7.204984609037638, 7.008498854935169, -5.937764678150415, -5.6127895805984735, 8.139077900908887, 8.687154467217624, 5.119916461408138, -6.1754531362093985, -8.276937511749566, -7.8408425292000175, -6.127479361370206, 0.19851099094368063, 0.18715169754307834, 0.25367237548771165, 0.3179702041189915, 0.45323524331059684, 0.2766778926865858, 0.353765641270473, 0.34446025393424695, 0.49132592454162405, 0.45272978437433403, 0.24299892054725872, 0.23856515772686412, 0.2693315951609566
aluminizer, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, -4.865407987497747, 6.4931801308412105, -7.131007742136717, -9.459457218647003, -6.690254971385002, -7.790232436731458, 5.662958686705679, 9.724907226860523, 4.683029241859913, 5.528606990817934, 6.953738331794739, -5.477368354797363, 6.770286574959755, 0.15583286446190892, 0.2297464636770148, 0.4194352685188302, 0.21243646295953875, 0.21955282607958604, 0.5484620075454594, 0.34100804316705924, 0.317777858424922, 0.3026356235139256, 0.286337138208262, 0.3323885805784445, 0.33477955508065427, 0.43479859701534135
amalgamator, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 2, -6.113817221485078, -8.673203532816842, -8.527682293206453, 9.47114959359169, -5.315769840031862, -7.486285001039505, 6.824847748037428, 8.207630924880505, -6.574437752366066, -6.026752951089293, -7.536049570888281, 6.067863263189793, 5.863473646342754, 0.24577287489237015, 0.41147270790607404, 0.3825766085296204, 0.2730386784994534, 0.43965622791806325, 0.5147747603767829, 0.546596202013631, 0.4322601760082212, 0.5196045284949151, 0.721097130657387, 0.26084470423658423, 0.28293052099187266, 0.3395874640467411
anaesthesiologist, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, -5.680143311619759, -8.069342002971098, 9.108427569270134, -8.771381108090281, -5.86670284345746, 7.940917001105845, 6.60040278499946, 8.70726836239919, -4.52439833432436, -5.464867702219635, 7.5140108317136765, 7.242743328213692, -6.524660719558597, 0.32132928687803625, 0.3764445095395703, 0.44557603062142437, 0.2369779926034206, 0.3323318058724918, 0.10571597720215652, 0.3806508316755752, 0.3873134960747303, 0.2828951151858973, 0.2315166862684154, 0.4541887967470574, 0.2894827581794268, 0.4858309988556694
analyst, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, -4.609325946308672, -9.214798616943881, -6.364672902971506, -5.8825234696269035, -5.6332362703979015, 7.880259474739432, -7.51878966903314, -6.540147125720978, -5.3436466827988625, -5.936335594393313, -5.9341493137180805, -6.139065928757191, -6.342649603262544, 0.4658416001069199, 0.4195258788304407, 0.47993456239177346, 0.6135563103264596, 0.7235794103909785, 0.36123226142204995, 0.6268920123283053, 0.7125881444698164, 0.3205782030856289, 0.4545174175917858, 0.49170297952775305, 0.5508287582483542, 0.36966150227089056
anchorer, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, -6.70300583448261, -7.444585586665198, -6.193162202835083, -7.47585878521204, -6.134544666856527, -8.976289296522737, -6.359359217341989, -8.255025297403336, -5.3309269323945045, -4.724788504187018, -10.040352687239647, 5.727623410522938, -8.08826706930995, 0.2525127389396393, 0.28308940348468825, 0.3003797880313806, 0.6030615632246479, 0.7409217774061947, 0.8108724355890059, 0.8424412570847082, 0.7590052590416441, 0.599776602176193, 0.30320627323869925, 0.523828739244894, 0.3778553972802693, 0.327676427405137
