	Predictions													Projections												
anchorman	1	1	1	1	1	1	1	1	1	2	2	2	2	-0.264528696	-0.149927206	-0.202967274	-0.300966978	-0.449744168	-0.216366551	-0.165878102	-0.140011866	-0.017522707	0.10577937	0.458002869	0.701799643	0.22983899
anesthesiologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.248928709	-0.207945317	-0.256020986	-0.194300587	-0.170375482	-0.10451344	-0.145711546	-0.196531857	-0.149040405	-0.224938797	-0.247695166	-0.123516129	-0.239425112
anesthetist	1	1	1	1	1	2	2	2	2	2	2	2	2	-0.1739383	-0.141939127	-0.194260068	-0.183600362	-0.123361211	0.033796843	0.046757211	0.03701468	0.080108473	0.075691395	0.106135413	0.187094208	0.276068908
angiographer	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.151019471	-0.170835471	-0.252575308	-0.257702999	-0.349168891	-0.409053256	-0.549755674	-0.639403135	-0.541615527	-0.524455469	-0.337020298	-0.156051633	0.002486622
anglesmith	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.14652361	-0.203795125	-0.230908862	-0.257074536	-0.260899174	-0.245271217	-0.460627412	-0.368885729	-0.371168841	-0.31911999	-0.201332647	-0.275717181	-0.054098195
animator	2	1	1	1	1	1	1	1	1	1	1	1	1	0.073484186	-0.108046902	-0.271665334	-0.257001481	-0.323675831	-0.366456412	-0.497376815	-0.441685826	-0.341683084	-0.117400616	-0.089237955	-0.555934614	-0.434186231
annealer	1	1	1	1	1	2	1	2	2	2	2	2	1	-0.136728069	-0.099693476	-0.102991023	-0.15662233	-0.050385421	0.037130545	-0.033397101	0.07276566	0.242389437	0.123553428	0.113104565	0.099176882	-0.055860009
announcer	1	2	1	1	2	2	2	2	2	2	2	2	2	-0.04633536	0.03138108	-0.21616693	-0.093334167	0.03258636	0.192757385	0.107020131	0.107836798	0.084992841	0.433404075	0.462645116	0.402878866	0.538981012
anodiser	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.182758025	-0.155820553	-0.260244096	-0.192203702	-0.169913193	-0.151060015	-0.258932069	-0.307519713	-0.238585563	-0.174035016	-0.214497771	-0.242276314	-0.241115646
anodizer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.315057992	-0.191323021	-0.258622016	-0.195071857	-0.205367302	-0.237548237	-0.217122943	-0.344708474	-0.2992519	-0.154563159	-0.240448035	-0.115815934	-0.207322506
