id, 2dx, 2dy, label, color, size
0, 0.10609625279903412, 0.011207649484276772, accountant, 9.26, 20
1, 0.10930828750133514, -0.05907838046550751, administrator, 10.9, 20
2, 0.18982619047164917, 0.0357557013630867, advisor, 13.37, 20
3, 0.08984826505184174, -0.08993642032146454, appraiser, 20.33, 20
4, 0.037113845348358154, 0.013538362458348274, architect, 2.83, 20
5, 0.21118779480457306, 0.028847916051745415, auditor, 28.04, 20
6, 0.043127719312906265, -0.05203757435083389, baker, 8.93, 20
7, 0.025710830464959145, -0.000363921863026917, bartender, 20.42, 20
8, 0.23236632347106934, 0.036682914942502975, broker, 13.62, 20
9, -0.014451272785663605, 0.0108732795342803, carpenter, 11.99, 20
10, -0.0614774227142334, 0.3230482041835785, cashier, 67.46, 20
11, 0.08101902902126312, -0.25681549310684204, chef, 6.66, 20
12, -0.07625282555818558, -0.016895292326807976, chemist, 10.13, 20
13, 0.0662463828921318, 0.049546439200639725, clerk, 56.0, 20
14, 0.12586526572704315, 0.10439547151327133, counselor, 46.45, 20
15, -0.051186226308345795, 0.06210212782025337, dietitian, 86.49, 20
16, -0.10777927935123444, -0.1058616116642952, dispatcher, 68.57, 20
17, -0.003391105681657791, -0.22863197326660156, doctor, 9.2, 20
18, 0.004137082025408745, 0.1731436401605606, educator, 42.32, 20
19, -0.19761288166046143, -0.05069694668054581, electrician, 0.8, 20
20, -0.230227530002594, -0.05323151499032974, engineer, 1.99, 20
21, 0.2424359768629074, 0.08237828314304352, examiner, 6.9, 20
22, -0.14649949967861176, -0.16864612698554993, firefighter, 3.09, 20
23, -0.31812164187431335, 0.17746120691299438, hairdresser, 80.11, 20
24, -0.17288273572921753, 0.05835811048746109, hygienist, 25.0, 20
25, 0.12436676025390625, -0.22144438326358795, inspector, 2.35, 20
26, 0.0861569494009018, -0.01813056692481041, instructor, 16.07, 20
27, 0.25222787261009216, -0.02637774497270584, investigator, 5.29, 20
28, -0.17165642976760864, 0.08136093616485596, janitor, 4.2, 20
29, 0.0352579690515995, -0.013213853351771832, lawyer, 7.35, 20
30, 0.06065830960869789, 0.17119106650352478, librarian, 85.58, 20
31, -0.14289988577365875, 0.05305999517440796, machinist, 6.11, 20
32, -0.07836414873600006, -0.3482326567173004, manager, 5.18, 20
33, 0.03367822617292404, 0.033125247806310654, mechanic, 0.89, 20
34, 0.012135367840528488, 0.13719694316387177, nurse, 88.31, 20
35, -0.1433865875005722, 0.03516761586070061, nutritionist, 27.27, 20
36, -0.0014750570990145206, -0.13810321688652039, officer, 7.29, 20
37, -0.0916273221373558, -0.052742231637239456, painter, 11.65, 20
38, 0.03845326974987984, 0.07275108247995377, paralegal, 86.32, 20
39, -0.2201504409313202, -0.30775168538093567, paramedic, 7.52, 20
40, -0.047790057957172394, -0.18791815638542175, pathologist, 11.48, 20
41, -0.12218000739812851, 0.054177697747945786, pharmacist, 11.53, 20
42, 0.07409767806529999, -0.11763446778059006, physician, 8.41, 20
43, 0.09927138686180115, -0.1275031566619873, planner, 20.96, 20
44, -0.16075584292411804, 0.07397424429655075, plumber, 3.34, 20
45, 0.1899362951517105, 0.11986890435218811, practitioner, 34.19, 20
46, 0.03671533614397049, 0.0402827188372612, programmer, 4.04, 20
47, -0.05688644200563431, 0.12814213335514069, psychologist, 33.15, 20
48, 0.008554504252970219, 0.20628471672534943, receptionist, 67.22, 20
49, -0.15128736197948456, 0.015671903267502785, salesperson, 35.79, 20
50, 0.03131406009197235, 0.016262270510196686, scientist, 3.29, 20
51, 0.14795371890068054, -0.003209422342479229, secretary, 10.43, 20
52, 0.20409856736660004, -0.028934858739376068, specialist, 20.22, 20
53, -0.055759724229574203, -0.09117963910102844, supervisor, 36.02, 20
54, 0.04699831083416939, -0.1717296987771988, surgeon, 4.34, 20
55, -0.16641412675380707, 0.18504178524017334, teacher, 54.35, 20
56, -0.03526996821165085, 0.16128048300743103, technician, 9.42, 20
57, 0.11400583386421204, 0.15029211342334747, therapist, 61.86, 20
58, -0.11952590942382812, 0.03138124197721481, veterinarian, 35.55, 20
59, -0.014858122915029526, 0.0024490514770150185, worker, 13.43, 20
