id, 2dx, 2dy, label, color, size
0, 0.015417039394378662, -0.028224345296621323, abstracter, -0.5104632468357748, 20
1, 0.02599620632827282, -0.02525337226688862, abstractor, -0.4627565427161363, 20
2, 0.0213851910084486, -0.006402887403964996, accessioner, -0.5275635193311514, 20
3, 0.029633432626724243, -0.04744703322649002, accountant, -0.9996680663821935, 20
4, 0.0182142686098814, -0.0057111745700240135, acidizer, -0.4111957397136179, 20
5, 0.006844730116426945, -0.04035797715187073, actuary, -0.5811749369545541, 20
6, -0.03762063756585121, 0.011767199262976646, acupressurist, -0.5028618929497373, 20
7, -0.039242617785930634, 0.023573245853185654, acupuncturist, -0.49780196452927755, 20
8, 0.0026000519283115864, -0.009893110953271389, addresser, -0.3082191044349951, 20
9, -0.00021332735195755959, -0.011888440698385239, adjuster, -0.7645232361078478, 20
10, -0.009810995310544968, 0.005644698161631823, admeasurer, 0.11260952158796035, 20
11, 0.042432282119989395, -0.0094688069075346, administrator, 0.18727050966322867, 20
12, -0.005742100067436695, -0.01872764714062214, advertiser, -0.012456075199015829, 20
13, 0.04379422962665558, -0.018471695482730865, advisor, -0.663972205184456, 20
14, -0.020257053896784782, -0.05038042366504669, aerodynamicist, -1.4282543963116083, 20
15, -0.02195616438984871, -0.021463822573423386, aerographer, -1.1706609838644806, 20
16, -0.02443820610642433, -0.032085221260786057, aerologist, -1.643661784220057, 20
17, -0.048680391162633896, -0.018211733549833298, aerophysicist, -1.2413890900859794, 20
18, 0.007837177254259586, -0.02946418896317482, aesthetician, -0.9164814086469327, 20
19, -0.016710253432393074, 0.00482917157933116, afterschool, -0.24131750273003505, 20
20, 0.053705863654613495, -0.0091850059106946, agent, -0.20820689877577236, 20
21, -0.051360856741666794, -0.0047463346272706985, agriculturist, -0.2723783034815102, 20
22, -0.04759354889392853, -0.016569331288337708, agronomist, -0.7833240868944282, 20
23, -0.01880268007516861, -0.0022678649984300137, aircrewman, 0.46668072124190924, 20
24, 0.0014494135975837708, -0.05086720734834671, algebraist, -1.061544069046561, 20
25, -0.010350174270570278, 0.0009376683738082647, algologist, -0.9771700137017053, 20
26, -0.007021850906312466, -0.0381501205265522, aligner, -0.9314858191140675, 20
27, -0.01135971862822771, 0.010363302193582058, allergist, -0.6589736950811795, 20
28, -0.011043338105082512, 0.023641757667064667, aluminizer, -0.2399069457386488, 20
29, -0.02675730548799038, 0.015813864767551422, amalgamator, -0.39169976119674726, 20
30, -0.05760003253817558, -0.01595115475356579, anaesthesiologist, -0.20492686000534122, 20
31, 0.03768504038453102, -0.05478917807340622, analyst, -0.8565343701171126, 20
32, -0.003515442833304405, -0.04779105633497238, anchorer, -0.11369744532973734, 20
33, -0.009916274808347225, -0.04452857747673988, anchorman, -0.07152562740380712, 20
34, -0.05370248109102249, -0.015818443149328232, anesthesiologist, -0.405727751715571, 20
35, -0.06586953997612, -0.018068917095661163, anesthetist, -0.1605201218680105, 20
36, -0.021603234112262726, -0.007413584738969803, angiographer, -0.5518826866380716, 20
37, 0.019979199394583702, 0.01793399266898632, anglesmith, -0.3388106835274068, 20
38, 0.04906070604920387, -0.02611701935529709, animator, -1.327225748099971, 20
39, 0.007869279012084007, 0.02996455691754818, annealer, -0.2712757753376856, 20
40, 0.029620787128806114, -0.009967679157853127, announcer, -0.1934377225456771, 20
41, -0.003118854481726885, 0.0046812924556434155, anodiser, -0.6891711678267284, 20
42, -0.012435290962457657, -0.011279786005616188, anodizer, -0.5818790039222417, 20
43, 0.02317245490849018, -0.004459803458303213, answerer, -0.4944559109021065, 20
44, 0.04061492159962654, -0.04169603809714317, anthropologist, -0.562702269207275, 20
45, -0.03552277758717537, 0.014489330351352692, anthropometrist, -0.5194694893644621, 20
46, 0.029456639662384987, -0.014971939846873283, antiquer, -0.5380335377894435, 20
47, 0.01113593764603138, 0.016057118773460388, anvilsmith, -0.46280707120600906, 20
48, -0.01514640636742115, 0.018854830414056778, apiarist, 0.10658913826341597, 20
49, -0.029372572898864746, 0.021379010751843452, apiculturist, -0.2038724380186273, 20
50, 0.0154233044013381, 0.018490634858608246, applier, -0.6958377193914084, 20
51, -0.009490350261330605, 0.024213744327425957, appliquer, -0.6387950309500195, 20
52, -0.02350262925028801, -0.02336440607905388, appraiser, -0.6662175907363793, 20
53, 0.05422457307577133, -0.020386934280395508, apprentice, -0.4408823787055743, 20
54, 0.03129920735955238, -0.02096487581729889, approver, -0.44520566111874765, 20
55, -0.036315422505140305, 0.0013450589030981064, aquaculturist, -0.25854717116205495, 20
56, -0.00449941772967577, -0.0404653362929821, aquarist, 0.15249500969544189, 20
57, -0.013393959030508995, -0.006551817990839481, arbitrator, -0.2625803363745906, 20
58, 0.0020305095240473747, -0.003745441325008869, arborer, -0.7479520256927101, 20
59, -0.05077210068702698, -0.006349492818117142, arboriculturist, -0.2227633048679249, 20
60, -0.020477263256907463, -0.046182919293642044, arborist, -1.2723822101820277, 20
61, 0.04266180470585823, -0.044479191303253174, archaeologist, -0.7056522381016517, 20
62, -0.04127147048711777, -0.023373473435640335, archeologist, -1.211249935921959, 20
63, 0.029205212369561195, -0.0622481107711792, architect, -0.9805876894232087, 20
64, -0.008135850541293621, -0.04526066407561302, archivist, -0.08846838578253426, 20
65, -0.0525682158768177, -0.007541842758655548, aromatherapist, 0.5068762920243294, 20
66, -0.029380710795521736, 0.0029511265456676483, assayer, -0.6861547205332228, 20
67, 0.007465587463229895, -0.017851682379841805, assembler, -0.5417016817321415, 20
68, 0.009642700664699078, -0.04388359189033508, assessor, -0.5111405077896244, 20
