word, gender_class_00, gender_spectrum_00, gender_relevance_00
abstracter, 1, -0.9360764845320172, 5.236692221056897
abstractor, 1, -0.8847461936208416, 5.312611779615371
accessioner, 1, -0.7259519270177262, 5.38736373612994
accountant, 1, -0.8153828287344471, 7.44206761572165
acidizer, 1, -0.6535623843453316, 5.05592253280128
actuary, 1, -0.8136274182472081, 6.591213937925608
acupressurist, 1, -0.24434266265217436, 6.18140120847088
acupuncturist, 1, -0.27778061270648907, 5.488612766855366
addresser, 1, -0.5221894738117101, 5.748907809385559
adjuster, 1, -0.6558996288178912, 6.067456360342412
admeasurer, 2, 0.025426798317802403, 5.15921895016493
administrator, 2, 0.05526292768310912, 6.595244582961887
advertiser, 1, -0.29238439266054267, 5.8482731399267
advisor, 1, -0.6335180561658921, 6.290934155358153
aerodynamicist, 1, -1.5495717690263806, 7.26026238786782
aerographer, 1, -0.8406252062006051, 6.912770736313305
aerologist, 1, -1.4085243466520698, 6.8292129799677985
aerophysicist, 1, -1.0277281276946344, 6.915121184524492
aesthetician, 1, -1.307518654770203, 5.756337479003808
afterschool, 1, -0.2332613253497718, 5.985048624192221
agent, 1, -0.2147521825950904, 7.363541259728234
agriculturist, 1, -0.09135460534634181, 6.6239798974691215
agronomist, 1, -0.614028817249896, 6.447697871907302
aircrewman, 2, 0.41834436226735705, 6.680023990538039
algebraist, 1, -1.4696498514113694, 6.395661276311671
algologist, 1, -0.9314188230390235, 5.581544884616923
aligner, 1, -1.1926199920310416, 6.66643014635478
allergist, 1, -1.1466588486115459, 5.7300568640002805
aluminizer, 1, -0.22928144061938086, 4.858291159092747
amalgamator, 1, -0.31632029712297044, 6.605788581226688
anaesthesiologist, 1, -0.17125255855113838, 6.836903647003206
analyst, 1, -0.9393429209222843, 8.158680841537688
anchorer, 1, -0.5357522418732196, 6.579168450424015
anchorman, 1, -0.5170506563830799, 6.848091208994026
anesthesiologist, 1, -0.4156164350254878, 6.602993368531356
anesthetist, 1, -0.11464722818737409, 7.310344418283144
angiographer, 1, -0.681862852237579, 6.006127479671317
anglesmith, 1, -0.5038403208304403, 5.074030097343195
animator, 1, -0.8887801210007144, 7.409752427471509
annealer, 1, -0.21945403749786352, 5.146469107603734
announcer, 1, -0.33573845926982715, 6.584519608643115
anodiser, 1, -0.8350136311396351, 5.619121350683119
anodizer, 1, -0.838486430478958, 5.971855050621514
answerer, 1, -0.69253591383161, 5.672719780240041
anthropologist, 1, -0.5631559173557507, 7.735971928641858
anthropometrist, 1, -0.5359468373280293, 5.059732520840888
antiquer, 1, -0.6502603575925837, 5.05364096780094
anvilsmith, 1, -0.6072639900374354, 5.139762532839347
apiarist, 1, -0.11054878281816796, 5.336319430995047
apiculturist, 1, -0.18357328179115462, 5.525926097379783
applier, 1, -0.3073675639526633, 6.1292783260768395
appliquer, 1, -0.42736725882941, 5.660880281152515
appraiser, 1, -0.743247581866673, 6.347675531242242
apprentice, 1, -0.19482246557788854, 7.082892115779907
approver, 1, -0.4028890475138866, 5.925946818221754
aquaculturist, 1, -0.2670834622211203, 5.841107969412855
aquarist, 1, -0.06658487651988139, 6.478171622087027
arbitrator, 2, 0.004381951316345536, 6.898601821665404
arborer, 1, -0.7820570968861196, 5.671283507862887
arboriculturist, 1, -0.059620433768780165, 6.612238716440414
arborist, 1, -1.231089749134536, 7.153179301551429
archaeologist, 1, -0.5776761086889166, 7.601939658358364
archeologist, 1, -1.0367780467532706, 6.861676863200683
architect, 1, -1.166167387898361, 8.162559162521887
