word	pred_gender_00	pred_gender_01	pred_gender_02	pred_gender_03	pred_gender_04	pred_gender_05	pred_gender_06	pred_gender_07	pred_gender_08	pred_gender_09	pred_gender_10	pred_gender_11	pred_gender_12	proj_gender_00	proj_gender_01	proj_gender_02	proj_gender_03	proj_gender_04	proj_gender_05	proj_gender_06	proj_gender_07	proj_gender_08	proj_gender_09	proj_gender_10	proj_gender_11	proj_gender_12
abstracter	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.35974227770530853	-0.40871737267032293	-0.36336939697260645	-0.40564466310141845	-0.44712416689377343	-0.4339246998232674	-0.6216426433081607	-0.6983576320820085	-1.0084414291755266	-1.264997281039007	-1.5107376079407282	-1.159680059848327	-0.6065153052719716
abstractor	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.4217780872488394	-0.5812269381775201	-0.499109165870948	-0.5180495265353307	-0.43513184688630513	-0.36960015804997	-0.5233148108566088	-0.569552375365682	-1.0206142707070032	-1.2561343929414162	-1.5012489454951594	-1.2101601141916674	-0.6533121842460137
accessioner	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.05180954438685123	-0.16310973414453	-0.216264010751482	-0.2994869193139782	-0.3335013613815708	-0.2830578112671874	-0.5681071867868741	-0.5350297564193902	-0.9063877924346877	-1.1630709070593885	-1.40685407351498	-1.5105537139372371	-0.9211705626976127
accountant	1	1	1	1	1	2	1	2	1	2	1	1	2	-0.22106312026781916	-0.35001117839634316	-0.32567861367128736	-0.25638298227721495	-0.20384166865429793	0.017313146943590152	-0.024026783324482104	0.19590982969962656	-0.06360330287593674	0.021953736945511504	-0.1807542073625361	-0.11747563163248137	0.031451386239899404
acidizer	1	1	1	2	1	1	1	1	1	1	1	1	1	-0.3622867504935988	-0.1912345238207908	-0.13162848597803878	0.01646772727452922	-0.033504422695690095	-0.12743413783003044	-0.3017876796802921	-0.15084059580323023	-0.5524697702902579	-0.35806817002387453	-0.4929744144590318	-0.4461678121253002	-0.3294498273787158
actuary	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.07856067852097039	-0.10265763721052318	-0.11936155454060077	-0.07114683184236131	-0.20731789429688	-0.11716946069268484	-0.3761741046212408	-0.4446069788267095	-0.306312909045127	-0.22235510879465137	-0.1761400212094933	-0.3657677640533029	0.1153493741203912
acupressurist	2	1	2	2	1	2	1	1	1	1	1	1	1	0.04314323797899006	-0.02013714445136268	0.08454730105837142	0.11040540165165644	-0.026133848092898093	0.11421373869290836	-0.11683539312387772	-0.09276826676884395	-0.18021848297197873	-0.24176094426085368	-0.5007798328413914	-0.4458265271886953	-0.10988798039309328
acupuncturist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.0996236978880965	-0.14775657472841736	-0.109231099094039	-0.017135320816148256	-0.07856614899891265	-0.08222849460866041	-0.25874833396784347	-0.1464283844618592	-0.2546021209975542	-0.2410295761361677	-0.3730421230852785	-0.19543694392862365	-0.31021483805568273
addresser	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.14873486903980077	-0.21779433271494514	-0.06641738691535565	-0.10208802790745998	-0.06482107434370092	-0.13325620910330427	-0.37918053693236986	-0.3350271445550909	-0.4408335198737986	-0.6816834338855373	-0.7377738068394089	-0.9907985462361126	-0.29039741389519336
adjuster	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.16870015327040716	-0.16491477382573794	-0.1977112389307344	-0.29434010917827297	-0.49714503791594616	-0.21302760904688353	-0.5339346832427431	-0.5589127845765572	-0.5893419885146856	-0.8062985097928176	-0.9364621846599974	-0.8024974239698164	0.031106814216817047
