word, gender_class_00, gender_spectrum_00, gender_relevance_00
technician, 2, 0.18827382780839735, 26.880955035698285
accountant, 2, 0.06412989196130425, 26.195252255290786
supervisor, 1, -0.13088324084138347, 26.464966669298086
engineer, 1, -0.8006941420409629, 26.309445524003376
worker, 2, 0.06888858637463324, 27.369608480064812
educator, 1, -0.0861795464202677, 25.378411689178435
clerk, 2, 0.039330356643361375, 25.403573720136578
counselor, 2, 0.1052287495464107, 27.6752072895885
inspector, 1, -0.10373193104194922, 26.43278351415666
mechanic, 1, -0.6701398662191695, 26.065775138817425
manager, 2, 0.4521514158628509, 27.230112215208088
therapist, 1, -0.4120673790717744, 27.158411869806827
administrator, 2, 0.9569528467223948, 26.970057776524428
salesperson, 1, -0.31744548243331794, 20.489651953999896
receptionist, 2, 0.3836156522011762, 26.767504302639452
librarian, 2, 0.24057127899926412, 27.099367564683
advisor, 2, 0.29738773841219024, 26.827415712140304
pharmacist, 2, 1.4741013556374336, 21.685699601393924
janitor, 1, -0.28727263201230524, 21.825484218080252
psychologist, 2, 0.12888782789085618, 26.835949434052065
physician, 1, -0.043771863986124315, 26.439902487456838
carpenter, 1, -0.11052578353482012, 25.44266310358889
nurse, 2, 0.9022097876684495, 27.331855109429533
investigator, 2, 0.19265100077141295, 26.44314387308756
bartender, 2, 0.0509269887644444, 25.764074452606234
specialist, 1, -0.009163434434493186, 26.18343352570639
electrician, 2, 0.15840540725251262, 20.029743615911336
officer, 2, 0.20382934200559438, 26.37530745061702
pathologist, 2, 0.04263737886022567, 21.35798583933886
teacher, 1, -0.5597831512898102, 26.252921985269552
lawyer, 2, 0.07001919899710962, 26.285422373066808
planner, 1, -0.5477033086617552, 27.121666946462927
practitioner, 2, 0.06276753832555393, 26.226799623677323
plumber, 2, 1.9572628438667155, 21.493076810899744
instructor, 1, -0.3962775077722167, 27.087418455990672
surgeon, 1, -0.08043980913926463, 26.14943378826199
veterinarian, 2, 1.3056922704565534, 21.843281785995764
paramedic, 2, 2.2422039069654884, 21.572999362929263
examiner, 2, 0.5372592347336939, 26.78832159480722
chemist, 1, -0.40436831085795066, 27.20104450696526
machinist, 2, 0.6313538341211842, 20.365929527235345
appraiser, 2, 1.3638502115803692, 21.211226244568813
nutritionist, 2, 0.9472523017679579, 20.465325111249292
architect, 1, -0.04416688072920116, 27.208794880710993
hairdresser, 2, 1.2226140634167875, 20.501922841232794
baker, 1, -0.48488185546751317, 25.962982112525065
programmer, 1, -0.04753284313745032, 26.805649937946498
paralegal, 2, 1.1159739682557255, 21.716471854571864
hygienist, 2, 1.2025436033228833, 19.282320506069883
scientist, 1, -0.5618003179845101, 26.739554052226154
dispatcher, 2, 1.7384759560013705, 19.437940550557368
cashier, 2, 2.4162338517889883, 23.5846147508907
auditor, 1, -0.2993367759555362, 26.018018156058016
dietitian, 2, 0.5227731381631403, 19.047135770375633
painter, 2, 0.15486924025130888, 28.072263691255216
broker, 1, -0.06691662483919314, 26.562819400350186
chef, 1, -0.6618593896371406, 26.271506321174535
doctor, 1, -0.6638398410835089, 26.91092239834361
firefighter, 2, 1.3517438917186653, 22.381735921091387
secretary, 2, 0.5047126478757583, 26.53692719610904
