word	pred_gender_00	pred_gender_01	pred_gender_02	pred_gender_03	pred_gender_04	pred_gender_05	pred_gender_06	pred_gender_07	pred_gender_08	pred_gender_09	pred_gender_10	pred_gender_11	pred_gender_12	proj_gender_00	proj_gender_01	proj_gender_02	proj_gender_03	proj_gender_04	proj_gender_05	proj_gender_06	proj_gender_07	proj_gender_08	proj_gender_09	proj_gender_10	proj_gender_11	proj_gender_12
admeasurer	1	1	1	2	1	1	2	2	2	2	2	2	2	-0.11172734183274194	-0.15284842684657338	-0.054275303154373636	0.00853807729089831	-0.09286329225108392	0.0013655022414078288	0.024974114354937682	0.10564799620649495	0.13972438265811898	0.26681883750993357	0.36505816386091056	0.2024040729436355	0.4671446263869168
administrator	1	1	2	2	2	2	2	2	2	2	2	2	2	-0.06011257496153655	-0.0018523324616062098	0.003567864092518025	0.07873911005876112	0.15756043186833102	0.14861643482203135	0.34302940429868184	0.4528284364748626	0.544972505304272	0.6280264975333153	0.9338588745532412	1.0322990569630806	1.157690927091371
adon	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.26005549804558215	-0.33115695567435777	-0.35396199089694963	-0.5170877764895616	-0.7861031986574789	-0.8186003000451912	-0.9389526314066374	-1.0621161300245718	-1.1092079791220117	-1.1042220073657847	-0.7974243600913604	-0.9081195871834227	-1.0473673133233299
advertiser	2	1	1	2	2	1	1	2	2	1	2	2	2	0.007748417601462616	-0.10486701836708782	-0.13374969357837696	0.14027916807216384	0.0034206885673955245	-0.09020452095124995	-0.06928511171146459	0.14215964888168928	0.01621652531740536	-0.06636882988594928	0.24421636496516658	0.3892337113132114	0.405468587279626
aemt	2	2	1	2	1	2	2	2	1	2	2	2	2	0.027510349135503206	0.05917403312974354	0.00032410707901016356	0.09616052698153751	-0.011335706563902315	0.1370986996212164	0.06313520136878681	0.1950064836210751	-0.045998754931987906	0.12001252005441582	0.13749674742064222	0.09121196163896694	0.21360773566146302
aerodynamicist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.21551522991579478	-0.15291178008470618	-0.26102576361089247	-0.18199928298156837	-0.20461264175563476	-0.19653866512547433	-0.44827263378165577	-0.4622994661077918	-0.80030893860082	-0.9931710674068813	-1.2412570304250607	-1.3026607408261168	-1.0879460317557175
aerographer	2	2	1	1	2	1	1	1	1	1	1	1	1	0.008542469283325888	0.048621118329503	-0.09174994649327561	-0.03035434978777487	0.019139807339255188	-0.0576410783172438	-0.24459669707890003	-0.22447190083501795	-0.6725565044630104	-0.5904487789994235	-0.6249511440847721	-0.5565247777785784	-0.5242852053728663
aerologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.09726734996410112	-0.013565654027844772	-0.1069062696960079	-0.17100426507914854	-0.07061538934662015	-0.16189376783799297	-0.24620927293645373	-0.15922409975927498	-0.3032008402242915	-0.30954022155623573	-0.4773457980663624	-0.3753988972547716	-0.36620819426160317
aerophysicist	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.1739058221455724	-0.212396915621639	-0.3398118202345574	-0.3456599043123608	-0.2688841092222557	-0.347816058674271	-0.32832618599214214	-0.11322439015224184	-0.26287118143732713	-0.614180154696704	-0.12022686971285801	0.03223409841775682	-0.07912450877910815
aesthetician	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.15477337320773754	-0.177797083876839	-0.18495806325353342	-0.12264848992866137	-0.05185109224185276	-0.14678145432387613	-0.3821965147416424	-0.48169487976551256	-0.7948144713065584	-0.9743152171185326	-1.5369613733360006	-1.859648840083851	-1.5892191909679212
afterschool	2	2	1	1	1	1	1	1	1	1	2	1	2	0.016139528339919558	0.12073842715063449	-0.012925037391794902	-0.10108110645515275	-0.2248110289353652	-0.1665889695604034	-0.4441422509007947	-0.19290930128840145	-0.22675045890541756	-0.25830064423500704	0.011848348370257722	-0.406105188789596	0.24854487345072107
agent	1	1	1	2	2	2	2	2	2	2	2	2	2	-0.15313248294066478	-0.13169909295371887	-0.012109900146412389	0.05611374643309869	0.16276935198703607	0.32096172948687013	0.409617699254227	0.5572624606872082	0.584380878971895	0.5707644541000995	0.4803896021325914	0.39960975895997874	0.5527818579469782
agriculturist	1	1	1	1	1	1	1	2	2	1	1	1	1	-0.17567317884694425	-0.26706960819401704	-0.23246079566951502	-0.13634210061249968	-0.26054241166011394	-0.1393750593882933	-0.12669058942557443	0.07641064317189733	0.0898173196551775	-0.02976540955294016	-0.039628495712431794	-0.21990195359143425	-0.09174688022106325
agronomist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.1984758034963133	-0.30089510647253326	-0.21822746036432333	-0.19949586424743312	-0.33754920621132856	-0.3376291804104175	-0.28654158964803866	-0.23608343544671784	-0.3688316071072796	-0.5074652281270462	-0.675134556271526	-0.39825390479692857	-0.16672634125008828
aircrewman	1	1	1	1	2	2	2	2	2	2	2	2	2	-0.2022156280328723	-0.2207516568057481	-0.2447855931819276	-0.0348646190234237	0.04479296137359133	0.10622409038744154	0.08145435874369622	0.11577332970622473	0.302787036123842	0.49630800498018773	0.5273416874222938	0.42111403885828436	0.4859447855540626
algebraist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.3166418724789273	-0.47400448461397754	-0.5733277580468382	-0.654211433323932	-0.42317088223441346	-0.5291997517480336	-0.6957024934392787	-0.7289768930193619	-1.1330184143183093	-1.3644557631011145	-1.5946439433141748	-1.7010392943853994	-1.6459590503275712
