id, 2dx, 2dy, label, color
0, -0.12765097618103027, -0.3889853060245514, pathologist, 97.5
1, -0.07302941381931305, -0.052420735359191895, hygienist, 96.4
2, 0.07901192456483841, 5.646818317472935e-05, nutritionist, 94.6
3, -0.11384212225675583, -0.17320933938026428, dietitian, 94.6
4, -0.14508430659770966, -0.14176759123802185, secretary, 94.6
5, -0.07225319743156433, -0.18412178754806519, hairdresser, 94.2
6, 0.06654175370931625, -0.025720007717609406, receptionist, 90.6
7, -0.211832657456398, 0.02875971794128418, nurse, 89.58
8, 0.10170596837997437, 0.05285824462771416, paralegal, 85.4
9, -0.01989881880581379, 0.016143836081027985, librarian, 83.0
10, -0.1707463562488556, 0.18510177731513977, planner, 77.6
11, -0.01122952625155449, 0.17135223746299744, therapist, 76.7
12, -0.17045730352401733, 0.08287747949361801, practitioner, 74.79
13, 0.05474134907126427, -0.22887127101421356, cashier, 72.5
14, -0.12809690833091736, 0.1471313089132309, teacher, 71.0
15, 0.025201136246323586, 0.08323854953050613, educator, 70.8
16, -0.14061349630355835, 0.12769486010074615, psychologist, 70.3
17, 0.04082966595888138, -0.00682481424883008, clerk, 69.53
18, 0.1423262655735016, 0.12082943320274353, counselor, 66.48
19, 0.0187413040548563, 0.1205531507730484, examiner, 62.46
20, -0.08375349640846252, 0.07546976953744888, instructor, 62.3
21, -0.2631925046443939, 0.07497512549161911, baker, 60.8
22, 0.1265815794467926, -0.20007739961147308, veterinarian, 60.5
23, -0.043298959732055664, -0.0070995367132127285, bartender, 59.8
24, 0.0352683924138546, 0.0744922086596489, accountant, 59.7
25, 0.05283896625041962, -0.05357295274734497, auditor, 59.7
26, 0.203468918800354, -0.2635326683521271, pharmacist, 57.0
27, 0.17106835544109344, -0.012036376632750034, dispatcher, 56.3
28, 0.20286402106285095, 0.11592158675193787, broker, 55.5
29, 0.2589990794658661, 0.12599846720695496, administrator, 54.86
30, 0.06485453993082047, -0.11005216836929321, appraiser, 52.24
31, 0.06669160723686218, -0.16731590032577515, salesperson, 48.08
32, -0.026721933856606483, 0.028302274644374847, investigator, 45.15
33, -0.04715832695364952, 0.07640492171049118, scientist, 41.94
34, 0.12487803399562836, 0.1493842452764511, specialist, 41.35
35, 0.10764702409505844, 0.061844971030950546, technician, 40.34
36, -0.184246227145195, -0.02968805655837059, supervisor, 38.64
37, -0.09029130637645721, 0.03056792914867401, manager, 38.51
38, -0.26179343461990356, -0.04313325136899948, worker, 37.92
39, 0.03337739408016205, -0.08406466245651245, advisor, 37.9
40, -0.03497064486145973, 0.07990717887878418, physician, 37.9
41, -0.030573714524507523, 0.05490266531705856, surgeon, 37.9
42, -0.05154537409543991, 0.11357010155916214, doctor, 37.9
43, -0.15822730958461761, -0.006374238058924675, chemist, 36.1
44, 0.17127656936645508, 0.22439585626125336, lawyer, 34.5
45, -0.005616447888314724, -0.07347602397203445, janitor, 34.3
46, 0.14006571471691132, 0.0020570894703269005, paramedic, 32.9
47, 0.06764412671327591, 0.040904171764850616, officer, 30.42
48, -0.12998837232589722, 0.012773068621754646, architect, 20.81
49, -0.06291085481643677, -0.006558647844940424, chef, 19.6
50, 0.1394025981426239, -0.03406243026256561, programmer, 18.35
51, 0.09200920909643173, 0.013569368049502373, engineer, 10.72
52, 0.1657118797302246, -0.2879784107208252, machinist, 6.7
53, -0.15714862942695618, -0.08234088122844696, inspector, 6.4
54, -0.07113051414489746, 0.1476440727710724, painter, 5.7
55, 0.13708534836769104, -0.11573444306850433, firefighter, 3.5
56, -0.007048629689961672, -0.24463851749897003, electrician, 2.3
57, -0.19342441856861115, 0.09113311022520065, carpenter, 2.07
58, 0.18475542962551117, 0.1670846939086914, mechanic, 1.8
59, 0.21218806505203247, 0.1257573813199997, plumber, 0.7
